0.841402 0.00841416 0.540344
0.841195 0.016825 0.540471
0.840849 0.0252293 0.540681
0.840366 0.0336236 0.540975
0.839745 0.0420047 0.541354
0.838987 0.0503694 0.541816
0.838091 0.0587143 0.542361
0.837059 0.0670361 0.542991
0.83589 0.0753315 0.543704
0.834585 0.0835974 0.544499
0.833145 0.0918304 0.545378
0.831569 0.100027 0.54634
0.82986 0.108185 0.547383
0.828017 0.1163 0.548509
0.826041 0.124369 0.549717
0.823933 0.13239 0.551006
0.821694 0.140358 0.552376
0.819324 0.148271 0.553826
0.816825 0.156125 0.555357
0.814198 0.163918 0.556967
0.811443 0.171647 0.558657
0.808562 0.179308 0.560425
0.805556 0.186898 0.562271
0.802426 0.194414 0.564195
0.799173 0.201854 0.566196
0.795798 0.209214 0.568274
0.792304 0.216491 0.570427
0.78869 0.223683 0.572655
0.78496 0.230786 0.574958
0.781113 0.237798 0.577334
0.777152 0.244716 0.579783
0.773079 0.251537 0.582305
0.768894 0.258258 0.584898
0.764599 0.264877 0.587561
0.760197 0.271391 0.590294
0.755689 0.277797 0.593097
0.751076 0.284093 0.595967
0.74636 0.290276 0.598904
0.741544 0.296344 0.601907
0.736629 0.302294 0.604976
0.731617 0.308124 0.608108
0.72651 0.313831 0.611304
0.72131 0.319414 0.614562
0.716019 0.324869 0.617881
0.710639 0.330195 0.62126
0.705172 0.335389 0.624697
0.69962 0.340449 0.628193
0.693986 0.345374 0.631744
0.688271 0.35016 0.635351
0.682477 0.354807 0.639013
0.676608 0.359312 0.642726
0.670664 0.363673 0.646492
0.664649 0.367889 0.650308
0.658564 0.371958 0.654172
0.652412 0.375878 0.658084
0.646195 0.379647 0.662043
0.639915 0.383264 0.666046
0.633575 0.386728 0.670093
0.627177 0.390036 0.674181
0.620724 0.393188 0.67831
0.614217 0.396183 0.682479
0.607659 0.399018 0.686684
0.601052 0.401694 0.690926
0.594399 0.404208 0.695202
0.587702 0.406559 0.699511
0.580964 0.408748 0.703851
0.574186 0.410772 0.708221
0.567372 0.412631 0.712619
0.560522 0.414324 0.717043
0.553641 0.415851 0.721492
0.546729 0.41721 0.725964
0.53979 0.418402 0.730457
0.532825 0.419425 0.73497
0.525837 0.420279 0.7395
0.518828 0.420965 0.744047
0.511801 0.42148 0.748608
0.504757 0.421827 0.753182
0.497698 0.422003 0.757766
0.490628 0.42201 0.762359
0.483547 0.421847 0.76696
0.476459 0.421514 0.771565
0.469364 0.421012 0.776174
0.462266 0.42034 0.780785
0.455166 0.419499 0.785395
0.448066 0.418489 0.790003
0.440967 0.417311 0.794606
0.433873 0.415965 0.799204
0.426785 0.414452 0.803794
0.419704 0.412772 0.808374
0.412632 0.410926 0.812942
0.405571 0.408915 0.817496
0.398523 0.40674 0.822035
0.391489 0.404401 0.826557
0.384471 0.4019 0.831059
0.37747 0.399237 0.835539
0.370489 0.396415 0.839996
0.363527 0.393433 0.844428
0.356587 0.390293 0.848833
0.349669 0.386997 0.853209
0.342776 0.383545 0.857553
0.335908 0.37994 0.861865
0.329066 0.376183 0.866142
0.322252 0.372275 0.870382
0.315466 0.368218 0.874583
0.30871 0.364014 0.878744
0.301984 0.359664 0.882863
0.295289 0.355171 0.886938
0.288626 0.350535 0.890966
0.281995 0.34576 0.894946
0.275398 0.340846 0.898877
0.268834 0.335797 0.902756
0.262304 0.330613 0.906582
0.25581 0.325298 0.910353
0.24935 0.319853 0.914067
0.242925 0.314281 0.917723
0.236537 0.308583 0.921318
0.230184 0.302763 0.924851
0.223867 0.296822 0.928321
0.217585 0.290764 0.931726
0.21134 0.28459 0.935064
0.205131 0.278303 0.938333
0.198957 0.271905 0.941533
0.19282 0.265399 0.944661
0.186717 0.258789 0.947716
0.180649 0.252076 0.950696
0.174616 0.245262 0.953601
0.168618 0.238352 0.956429
0.162653 0.231348 0.959178
0.156721 0.224252 0.961847
0.150821 0.217067 0.964435
0.144954 0.209796 0.96694
0.139118 0.202443 0.969362
0.133312 0.195009 0.971699
0.127536 0.187499 0.97395
0.121789 0.179915 0.976114
0.11607 0.172259 0.978189
0.110378 0.164536 0.980176
0.104712 0.156748 0.982072
0.0990707 0.148898 0.983877
0.0934534 0.14099 0.98559
0.0878589 0.133026 0.987211
0.0822861 0.12501 0.988737
0.0767338 0.116944 0.99017
0.0712008 0.108833 0.991507
0.0656859 0.100678 0.992748
0.0601877 0.0924845 0.993893
0.054705 0.0842542 0.994941
0.0492364 0.0759909 0.995892
0.0437807 0.0676976 0.996745
0.0383365 0.0593778 0.997499
0.0329023 0.0510347 0.998155
0.0274769 0.0426715 0.998711
0.0220587 0.0342915 0.999168
0.0166463 0.0258981 0.999526
0.0112385 0.0174946 0.999784
0.00583358 0.0090841 0.999942
0.000430259 0.000670085 1
-0.00497295 -0.00774419 0.999958
-0.0103775 -0.0161554 0.999816
-0.0157848 -0.0245603 0.999574
-0.0211963 -0.0329556 0.999232
-0.0266135 -0.0413379 0.998791
-0.0320377 -0.049704 0.99825
-0.0374704 -0.0580505 0.99761
-0.0429129 -0.0663743 0.996872
-0.0483667 -0.074672 0.996035
-0.0538331 -0.0829403 0.995099
-0.0593135 -0.091176 0.994067
-0.0648091 -0.0993759 0.992937
-0.0703213 -0.107537 0.991711
-0.0758514 -0.115655 0.990389
-0.0814005 -0.123728 0.988972
-0.08697 -0.131753 0.98746
-0.0925609 -0.139725 0.985855
-0.0981745 -0.147643 0.984156
-0.103812 -0.155502 0.982366
-0.109474 -0.1633 0.980484
