0.012723 1.16182
0.0275363 1.18128
0.0440473 1.21024
0.0618635 1.24586
0.0805924 1.2853
0.0998414 1.32573
0.119218 1.36429
0.13833 1.39816
0.156853 1.42504
0.174795 1.4453
0.192258 1.46004
0.209345 1.47041
0.226159 1.47753
0.242804 1.48252
0.259381 1.48652
0.275994 1.49064
0.292731 1.49585
0.309592 1.50221
0.326547 1.50943
0.343566 1.51726
0.36062 1.52541
0.37768 1.53363
0.394714 1.54164
0.411694 1.54918
0.428593 1.55599
0.445408 1.56209
0.462144 1.56755
0.478807 1.57246
0.495404 1.5769
0.51194 1.58095
0.528421 1.58471
0.544852 1.58824
0.56124 1.59164
0.577582 1.59492
0.593876 1.59806
0.610118 1.60103
0.626304 1.60384
0.64243 1.60645
0.658493 1.60886
0.67449 1.61104
0.690417 1.61299
0.706271 1.6147
0.722052 1.61618
0.737759 1.61744
0.753391 1.61849
0.768947 1.61933
0.784425 1.61998
0.799826 1.62044
0.815147 1.62072
0.830387 1.62083
0.845545 1.62075
0.860619 1.62051
0.875607 1.62009
0.890508 1.61949
0.90532 1.61872
0.920041 1.61778
0.93467 1.61667
0.949206 1.61538
0.963646 1.61393
0.97799 1.61231
0.992236 1.61053
1.00638 1.60858
1.02043 1.60647
1.03437 1.60421
1.04821 1.60179
1.06195 1.59921
1.07558 1.59648
1.0891 1.5936
1.10251 1.59056
1.11582 1.58738
1.12901 1.58405
1.14209 1.58057
1.15505 1.57694
1.1679 1.57317
1.18063 1.56926
1.19325 1.56521
1.20574 1.56101
1.21812 1.55668
1.23037 1.55221
1.2425 1.5476
1.2545 1.54286
1.26638 1.53799
1.27813 1.53298
1.28976 1.52784
1.30126 1.52257
1.31262 1.51717
1.32386 1.51164
1.33496 1.50599
1.34593 1.50021
1.35676 1.49431
1.36746 1.48828
1.37802 1.48214
1.38845 1.47587
1.39873 1.46948
1.40888 1.46298
1.41888 1.45636
1.42874 1.44962
1.43846 1.44277
1.44804 1.4358
1.45747 1.42873
1.46676 1.42154
1.47589 1.41424
1.48489 1.40683
1.49373 1.39932
1.50242 1.3917
1.51096 1.38398
1.51936 1.37615
1.5276 1.36822
1.53568 1.36018
1.54362 1.35205
1.5514 1.34382
1.55902 1.33549
1.56649 1.32706
1.5738 1.31854
1.58095 1.30992
1.58795 1.30121
1.59479 1.29241
1.60146 1.28351
1.60798 1.27453
1.61434 1.26546
1.62053 1.2563
1.62657 1.24705
1.63244 1.23772
1.63815 1.22831
1.64369 1.21881
1.64907 1.20923
1.65428 1.19958
1.65933 1.18984
1.66422 1.18002
1.66893 1.17013
1.67348 1.16016
1.67786 1.15012
1.68208 1.14
1.68612 1.12981
1.69 1.11955
1.69371 1.10923
1.69725 1.09883
1.70062 1.08836
1.70382 1.07783
1.70685 1.06724
1.70971 1.05658
1.71239 1.04586
1.71491 1.03507
1.71726 1.02423
1.71943 1.01332
1.72143 1.00236
1.72326 0.991346
1.72492 0.980272
1.7264 0.969144
1.72771 0.957963
1.72885 0.94673
1.72982 0.935446
1.73061 0.924112
1.73123 0.91273
1.73168 0.9013
1.73195 0.889823
1.73205 0.878302
1.73198 0.866737
1.73173 0.855129
1.73131 0.843479
1.73072 0.831789
1.72995 0.820059
1.72902 0.808291
1.7279 0.796486
1.72662 0.784645
1.72516 0.77277
1.72353 0.76086
1.72173 0.748919
1.71976 0.736945
1.71761 0.724942
1.7153 0.712909
1.71281 0.700848
1.71015 0.68876
1.70732 0.676647
1.70431 0.664508
1.70114 0.652346
1.6978 0.640162
1.69429 0.627956
1.6906 0.615729
1.68675 0.603484
1.68273 0.59122
1.67855 0.578938
1.67419 0.566641
1.66967 0.554329
1.66498 0.542003
1.66012 0.529663
1.6551 0.517312
1.64991 0.50495
1.64456 0.492578
1.63904 0.480197
1.63336 0.467809
1.62751 0.455413
1.62151 0.443012
1.61534 0.430606
1.60901 0.418196
1.60251 0.405783
1.59586 0.393368
1.58905 0.380952
1.58208 0.368537
1.57495 0.356122
1.56766 0.343709
1.56022 0.331298
1.55262 0.318892
1.54487 0.30649
1.53696 0.294093
1.52889 0.281703
